fund,field,source,as_of,value
BREW,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
BREW,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,49140.16
BREW,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
BREW,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,25555.20
BREW,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,449.41
BREW,totAssets,EagleSTAR TrialBalance,20260624,1611585.31
BREW,totLiabs,EagleSTAR TrialBalance,20260624,449.41
BREW,netAssets,EagleSTAR TrialBalance,20260624,1611135.90
BREW,mon1Sales,EagleSTAR TrialBalance,20260624,250000.00
BREW,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
BREW,mon2Sales,EagleSTAR TrialBalance,20260624,1280895.00
BREW,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
BREW,mon3Sales,EagleSTAR TrialBalance,20260624,0.00
BREW,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
BRZX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
BRZX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
BRZX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
BRZX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
BRZX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-3633.39
BRZX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-13381.45
BRZX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,7076.68
BRZX,totAssets,EagleSTAR TrialBalance,20260624,571569.18
BRZX,totLiabs,EagleSTAR TrialBalance,20260624,7076.68
BRZX,netAssets,EagleSTAR TrialBalance,20260624,564492.50
BRZX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
BRZX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
BRZX,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
BRZX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
BRZX,mon3Sales,EagleSTAR TrialBalance,20260624,331204.50
BRZX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
BZZ,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
BZZ,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
BZZ,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
BZZ,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,264829.03
BZZ,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
BZZ,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-979615.94
BZZ,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,960.22
BZZ,totAssets,EagleSTAR TrialBalance,20260624,4137644.93
BZZ,totLiabs,EagleSTAR TrialBalance,20260624,960.22
BZZ,netAssets,EagleSTAR TrialBalance,20260624,4136684.71
BZZ,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
BZZ,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
BZZ,mon2Sales,EagleSTAR TrialBalance,20260624,1513663.50
BZZ,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
BZZ,mon3Sales,EagleSTAR TrialBalance,20260624,3211081.00
BZZ,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CAMC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CAMC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CAMC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CAMC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CAMC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
CAMC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-7469.91
CAMC,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,77.47
CAMC,totAssets,EagleSTAR TrialBalance,20260624,242860.17
CAMC,totLiabs,EagleSTAR TrialBalance,20260624,77.47
CAMC,netAssets,EagleSTAR TrialBalance,20260624,242782.70
CAMC,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CAMC,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CAMC,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
CAMC,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CAMC,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
CAMC,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CARX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CARX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CARX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CARX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CARX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
CARX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,5354.41
CARX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,78.07
CARX,totAssets,EagleSTAR TrialBalance,20260624,255684.93
CARX,totLiabs,EagleSTAR TrialBalance,20260624,78.07
CARX,netAssets,EagleSTAR TrialBalance,20260624,255606.86
CARX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CARX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CARX,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
CARX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CARX,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
CARX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CBIL,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CBIL,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CBIL,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CBIL,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CBIL,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-45.54
CBIL,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-5067.72
CBIL,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,305.48
CBIL,totAssets,EagleSTAR TrialBalance,20260624,17030228.86
CBIL,totLiabs,EagleSTAR TrialBalance,20260624,305.48
CBIL,netAssets,EagleSTAR TrialBalance,20260624,17029923.38
CBIL,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CBIL,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CBIL,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
CBIL,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CBIL,mon3Sales,EagleSTAR TrialBalance,20260624,16759188.00
CBIL,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CBOT,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CBOT,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CBOT,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CBOT,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,43318.23
CBOT,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
CBOT,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-469735.24
CBOT,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,824.86
CBOT,totAssets,EagleSTAR TrialBalance,20260624,3474902.77
CBOT,totLiabs,EagleSTAR TrialBalance,20260624,824.86
CBOT,netAssets,EagleSTAR TrialBalance,20260624,3474077.91
CBOT,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
CBOT,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CBOT,mon2Sales,EagleSTAR TrialBalance,20260624,2404682.00
CBOT,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CBOT,mon3Sales,EagleSTAR TrialBalance,20260624,1370925.00
CBOT,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CCPX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CCPX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CCPX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CCPX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CCPX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-11515.98
CCPX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-195984.30
CCPX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,17199.21
CCPX,totAssets,EagleSTAR TrialBalance,20260624,1313355.73
CCPX,totLiabs,EagleSTAR TrialBalance,20260624,17199.21
CCPX,netAssets,EagleSTAR TrialBalance,20260624,1296156.52
CCPX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CCPX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CCPX,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
CCPX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CCPX,mon3Sales,EagleSTAR TrialBalance,20260624,1252423.00
CCPX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CGOV,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CGOV,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CGOV,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CGOV,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CGOV,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-7.27
CGOV,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-35.18
CGOV,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,305.89
CGOV,totAssets,EagleSTAR TrialBalance,20260624,17537089.64
CGOV,totLiabs,EagleSTAR TrialBalance,20260624,305.89
CGOV,netAssets,EagleSTAR TrialBalance,20260624,17536783.75
CGOV,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CGOV,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CGOV,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
CGOV,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CGOV,mon3Sales,EagleSTAR TrialBalance,20260624,17262385.00
CGOV,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CHYG,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CHYG,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CHYG,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CHYG,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CHYG,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-320.75
CHYG,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-8219.18
CHYG,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,265.28
CHYG,totAssets,EagleSTAR TrialBalance,20260624,5507245.14
CHYG,totLiabs,EagleSTAR TrialBalance,20260624,265.28
CHYG,netAssets,EagleSTAR TrialBalance,20260624,5506979.86
CHYG,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CHYG,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CHYG,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
CHYG,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CHYG,mon3Sales,EagleSTAR TrialBalance,20260624,5246632.00
CHYG,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CIEI,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CIEI,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CIEI,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CIEI,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CIEI,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-30.17
CIEI,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,1684.47
CIEI,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,41.10
CIEI,totAssets,EagleSTAR TrialBalance,20260624,2258938.51
CIEI,totLiabs,EagleSTAR TrialBalance,20260624,41.10
CIEI,netAssets,EagleSTAR TrialBalance,20260624,2258897.41
CIEI,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CIEI,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CIEI,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
CIEI,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CIEI,mon3Sales,EagleSTAR TrialBalance,20260624,2003220.00
CIEI,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CIVG,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CIVG,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CIVG,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CIVG,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CIVG,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
CIVG,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-3861.87
CIVG,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,54.44
CIVG,totAssets,EagleSTAR TrialBalance,20260624,4258506.38
CIVG,totLiabs,EagleSTAR TrialBalance,20260624,94.21
CIVG,netAssets,EagleSTAR TrialBalance,20260624,4258412.17
CIVG,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CIVG,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CIVG,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
CIVG,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CIVG,mon3Sales,EagleSTAR TrialBalance,20260624,4003878.00
CIVG,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CJUN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CJUN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CJUN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CJUN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CJUN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-191.38
CJUN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-14101.70
CJUN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,309.62
CJUN,totAssets,EagleSTAR TrialBalance,20260624,1362646.42
CJUN,totLiabs,EagleSTAR TrialBalance,20260624,309.62
CJUN,netAssets,EagleSTAR TrialBalance,20260624,1362336.80
CJUN,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CJUN,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CJUN,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
CJUN,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CJUN,mon3Sales,EagleSTAR TrialBalance,20260624,1126042.50
CJUN,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CMAG,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CMAG,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CMAG,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,9654.55
CMAG,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,70831.31
CMAG,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-3631.23
CMAG,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-512507.24
CMAG,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,9319.20
CMAG,totAssets,EagleSTAR TrialBalance,20260624,8693282.57
CMAG,totLiabs,EagleSTAR TrialBalance,20260624,9319.20
CMAG,netAssets,EagleSTAR TrialBalance,20260624,8683963.37
CMAG,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
CMAG,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CMAG,mon2Sales,EagleSTAR TrialBalance,20260624,2169757.00
CMAG,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CMAG,mon3Sales,EagleSTAR TrialBalance,20260624,6815911.00
CMAG,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CMAY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CMAY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CMAY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CMAY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,120549.32
CMAY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-17369.45
CMAY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-22715.44
CMAY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,1269.05
CMAY,totAssets,EagleSTAR TrialBalance,20260624,4974517.62
CMAY,totLiabs,EagleSTAR TrialBalance,20260624,1269.05
CMAY,netAssets,EagleSTAR TrialBalance,20260624,4973248.57
CMAY,mon1Sales,EagleSTAR TrialBalance,20260624,25.00
CMAY,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CMAY,mon2Sales,EagleSTAR TrialBalance,20260624,5273690.00
CMAY,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CMAY,mon3Sales,EagleSTAR TrialBalance,20260624,256324.00
CMAY,mon3Redemption,EagleSTAR TrialBalance,20260624,642990.00
COIX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
COIX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
COIX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
COIX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
COIX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
COIX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
COIX,totAssets,EagleSTAR TrialBalance,20260624,250000.00
COIX,netAssets,EagleSTAR TrialBalance,20260624,250000.00
COIX,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
COIX,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
COIX,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
COIX,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
COIX,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
COIX,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CQTM,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CQTM,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CQTM,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CQTM,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,749259.68
CQTM,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-70957.76
CQTM,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-348713.56
CQTM,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,2440.07
CQTM,totAssets,EagleSTAR TrialBalance,20260624,15845142.16
CQTM,totLiabs,EagleSTAR TrialBalance,20260624,2440.07
CQTM,netAssets,EagleSTAR TrialBalance,20260624,15842702.09
CQTM,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
CQTM,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CQTM,mon2Sales,EagleSTAR TrialBalance,20260624,7759070.00
CQTM,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CQTM,mon3Sales,EagleSTAR TrialBalance,20260624,7630580.00
CQTM,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CRUC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CRUC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CRUC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CRUC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CRUC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
CRUC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-528.66
CRUC,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,78.37
CRUC,totAssets,EagleSTAR TrialBalance,20260624,249802.07
CRUC,totLiabs,EagleSTAR TrialBalance,20260624,78.37
CRUC,netAssets,EagleSTAR TrialBalance,20260624,249723.70
CRUC,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CRUC,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CRUC,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
CRUC,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CRUC,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
CRUC,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CTJN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CTJN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CTJN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CTJN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CTJN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-138.92
CTJN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-11535.95
CTJN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,239.86
CTJN,totAssets,EagleSTAR TrialBalance,20260624,988860.70
CTJN,totLiabs,EagleSTAR TrialBalance,20260624,239.86
CTJN,netAssets,EagleSTAR TrialBalance,20260624,988620.84
CTJN,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CTJN,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CTJN,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
CTJN,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CTJN,mon3Sales,EagleSTAR TrialBalance,20260624,750000.00
CTJN,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
CTMA,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CTMA,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CTMA,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CTMA,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,81427.05
CTMA,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-1286.37
CTMA,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-42194.66
CTMA,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,597.71
CTMA,totAssets,EagleSTAR TrialBalance,20260624,4688928.38
CTMA,totLiabs,EagleSTAR TrialBalance,20260624,597.71
CTMA,netAssets,EagleSTAR TrialBalance,20260624,4688330.67
CTMA,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
CTMA,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CTMA,mon2Sales,EagleSTAR TrialBalance,20260624,5031498.50
CTMA,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CTMA,mon3Sales,EagleSTAR TrialBalance,20260624,127986.50
CTMA,mon3Redemption,EagleSTAR TrialBalance,20260624,639952.50
CUST,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
CUST,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
CUST,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
CUST,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
CUST,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-41.37
CUST,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-8979.20
CUST,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,106.88
CUST,totAssets,EagleSTAR TrialBalance,20260624,7510040.36
CUST,totLiabs,EagleSTAR TrialBalance,20260624,106.88
CUST,netAssets,EagleSTAR TrialBalance,20260624,7509933.48
CUST,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
CUST,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
CUST,mon2Sales,EagleSTAR TrialBalance,20260624,250000.00
CUST,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
CUST,mon3Sales,EagleSTAR TrialBalance,20260624,7258946.00
CUST,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
DELC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
DELC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
DELC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
DELC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
DELC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
DELC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
DELC,totAssets,EagleSTAR TrialBalance,20260624,250000.00
DELC,netAssets,EagleSTAR TrialBalance,20260624,250000.00
DELC,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
DELC,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
DELC,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
DELC,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
DELC,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
DELC,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
DIPR,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
DIPR,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
DIPR,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
DIPR,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,704610.86
DIPR,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
DIPR,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-1304302.72
DIPR,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,902.51
DIPR,totAssets,EagleSTAR TrialBalance,20260624,3357055.95
DIPR,totLiabs,EagleSTAR TrialBalance,20260624,902.51
DIPR,netAssets,EagleSTAR TrialBalance,20260624,3356153.44
DIPR,mon1Sales,EagleSTAR TrialBalance,20260624,125000.00
DIPR,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
DIPR,mon2Sales,EagleSTAR TrialBalance,20260624,2497345.00
DIPR,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
DIPR,mon3Sales,EagleSTAR TrialBalance,20260624,1330680.00
DIPR,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
DISC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
DISC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
DISC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
DISC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
DISC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
DISC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,0.00
DISC,totAssets,EagleSTAR TrialBalance,20260624,250000.00
DISC,netAssets,EagleSTAR TrialBalance,20260624,250000.00
DISC,mon1Sales,EagleSTAR TrialBalance,20260624,0.00
DISC,mon1Redemption,EagleSTAR TrialBalance,20260624,0.00
DISC,mon2Sales,EagleSTAR TrialBalance,20260624,0.00
DISC,mon2Redemption,EagleSTAR TrialBalance,20260624,0.00
DISC,mon3Sales,EagleSTAR TrialBalance,20260624,250000.00
DISC,mon3Redemption,EagleSTAR TrialBalance,20260624,0.00
DOCK,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
DOCK,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
DOCK,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
DOCK,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,37907.37
DOCK,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
DOCK,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,4962.63
DOCK,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,437.79
DOCK,totAssets,EagleSTAR TrialBalance,20260624,1591498.20
